# file	translator	distance-meassure	synset-tolerance	relation-tolerance	similarity-value	computation-time
sample08.txt	google	wu-palmer	0	0	0.823529	2.07
sample08.txt	yandex	wu-palmer	0	0	0.823529	1.856
sample08.txt	yandex	leacock-chodorow	0	0	0.823529	2.429
sample08.txt	google	leacock-chodorow	0	0	0.823529	2.879
sample08.txt	yandex	shortest_path	0	0	0.823529	18.433
sample08.txt	yandex	resnik	0	0	0.823529	18.174
sample08.txt	google	resnik	0	0	0.823529	20.681
sample08.txt	google	lin	0	0	0.823529	20.75
sample08.txt	google	shortest_path	0	0	0.823529	21.407
sample08.txt	yandex	lin	0	0	0.823529	23.203
sample08.txt	google	jiang-conrath	0	0	0.823529	24.644
sample08.txt	yandex	jiang-conrath	0	0	0.823529	24.62
sample08.txt	yandex	sussna	0	0	0.823529	29.3
sample08.txt	google	sussna	0	0	0.823529	29.634
sample08.txt	google	sussna	0	0.1	0.823529	0.217
sample08.txt	google	leacock-chodorow	0	0.1	0.823529	0.218
sample08.txt	google	wu-palmer	0	0.1	0.823529	0.277
sample08.txt	yandex	leacock-chodorow	0	0.1	0.823529	0.282
sample08.txt	yandex	sussna	0	0.1	0.823529	0.414
sample08.txt	yandex	wu-palmer	0	0.1	0.823529	0.393
sample08.txt	google	lin	0	0.1	0.823529	12.437
sample08.txt	yandex	resnik	0	0.1	0.823529	16.625
sample08.txt	yandex	shortest_path	0	0.1	0.823529	17.039
sample08.txt	google	shortest_path	0	0.1	0.823529	17.325
sample08.txt	yandex	lin	0	0.1	0.823529	18.228
sample08.txt	google	resnik	0	0.1	0.823529	18.612
sample08.txt	google	jiang-conrath	0	0.1	0.823529	18.89
sample08.txt	yandex	jiang-conrath	0	0.1	0.823529	18.968
sample08.txt	google	wu-palmer	0	0.2	0.823529	0.217
sample08.txt	google	sussna	0	0.2	0.823529	0.416
sample08.txt	google	leacock-chodorow	0	0.2	0.823529	0.491
sample08.txt	yandex	leacock-chodorow	0	0.2	0.823529	0.29
sample08.txt	yandex	sussna	0	0.2	0.823529	0.44
sample08.txt	yandex	wu-palmer	0	0.2	0.823529	0.492
sample08.txt	google	lin	0	0.2	0.823529	8.355
sample08.txt	google	jiang-conrath	0	0.2	0.823529	13.348
sample08.txt	google	shortest_path	0	0.2	0.823529	16.048
sample08.txt	yandex	lin	0	0.2	0.823529	16.856
sample08.txt	yandex	shortest_path	0	0.2	0.823529	17.219
sample08.txt	yandex	jiang-conrath	0	0.2	0.823529	17.063
sample08.txt	yandex	resnik	0	0.2	0.823529	17.432
sample08.txt	google	resnik	0	0.2	0.823529	17.797
sample08.txt	google	leacock-chodorow	0	0.3	0.823529	0.22
sample08.txt	google	sussna	0	0.3	0.823529	0.295
sample08.txt	google	wu-palmer	0	0.3	0.823529	0.38
sample08.txt	yandex	sussna	0	0.3	0.823529	0.445
sample08.txt	yandex	leacock-chodorow	0	0.3	0.823529	0.408
sample08.txt	yandex	wu-palmer	0	0.3	0.823529	0.525
sample08.txt	yandex	shortest_path	0	0.3	0.823529	8.756
sample08.txt	google	resnik	0	0.3	0.823529	13.549
sample08.txt	yandex	jiang-conrath	0	0.3	0.823529	13.465
sample08.txt	google	shortest_path	0	0.3	0.823529	14.494
sample08.txt	google	lin	0	0.3	0.823529	15.12
sample08.txt	yandex	lin	0	0.3	0.823529	17.073
sample08.txt	yandex	resnik	0	0.3	0.823529	17.318
sample08.txt	google	jiang-conrath	0	0.3	0.823529	18.244
sample08.txt	google	wu-palmer	0	0.4	0.823529	0.207
sample08.txt	google	leacock-chodorow	0	0.4	0.823529	0.356
sample08.txt	google	sussna	0	0.4	0.823529	0.42
sample08.txt	yandex	sussna	0	0.4	0.823529	0.601
sample08.txt	yandex	leacock-chodorow	0	0.4	0.823529	0.506
sample08.txt	yandex	wu-palmer	0	0.4	0.823529	0.556
